symbol,coinbase_pair,start_date,end_date,days_covered,data_age_group,market_cap,market_cap_rank,market_cap_tier,categories,crypto_family,category_list,family_list,notes,consolidated_categories_list,consolidated_categories
BTC,BTC-USD,7/20/2015 21:00,7/30/2025 1:00,3663,Legacy,2.37E+12,1,Large Cap,"Payments, Store-of-Value",Bitcoin ,"['Payments', 'Store-of-Value']",['Bitcoin'],,['Payments & Commerce'],Payments & Commerce
ETH,ETH-USD,5/18/2016 0:00,7/30/2025 1:00,3361,Legacy,4.20E+11,2,Large Cap,"Smart Contracts, DeFi",Ethereum,"['Smart Contracts', 'DeFi']",['Ethereum'],,['DeFi'],DeFi
XRP,XRP-USD,7/13/2023 20:00,7/30/2025 4:00,748,Established,1.85E+11,3,Large Cap,"Payments, Cross-Border",Ripple,"['Payments', 'Cross-Border']",['Ripple'],,['Payments & Commerce'],Payments & Commerce
USDT,USDT-USD,5/4/2021 1:00,7/30/2025 3:00,1549,Established,1.64E+11,4,Large Cap,Stablecoin (Fiat-Pegged),"Multi Chain, Ethereum, Tron",['Stablecoin (Fiat-Pegged)'],"['Multi Chain', 'Ethereum', 'Tron']",,['Stablecoins'],Stablecoins
SOL,SOL-USD,6/17/2021 16:00,7/30/2025 3:00,1504,Established,94715545981,5,Large Cap,"Smart Contracts, NFTs",Solana ,"['Smart Contracts', 'NFTs']",['Solana'],,['NFTs & Digital Collectibles'],NFTs & Digital Collectibles
DOGE,DOGE-USD,6/3/2021 16:00,7/30/2025 1:00,1518,Established,32791962211,6,Large Cap,"Meme, Payments",Bitcoin ,"['Meme', 'Payments']",['Bitcoin'],,"['Payments & Commerce', 'Meme & Community Tokens']","Payments & Commerce, Meme & Community Tokens"
UNI,UNI-USD,3/5/2020 14:00,8/1/2025 20:00,1976,Legacy,30741846475,7,Large Cap,"DeFi, DEX",Ethereum,"['DeFi', 'DEX']",['Ethereum'],,['DeFi'],DeFi
TRX,TRX-USD,3/5/2020 0:00,7/30/2025 0:00,1974,Legacy,30500214232,8,Large Cap,"Smart Contracts, Entertainment",Tron ,"['Smart Contracts', 'Entertainment']",['Tron'],,['Gaming & Metaverse'],Gaming & Metaverse
ADA,ADA-USD,3/18/2021 16:00,7/30/2025 0:00,1595,Established,29955949870,9,Large Cap,"Smart Contracts, PoS",Cardano ,"['Smart Contracts', 'PoS']",['Cardano'],,['Other / Specialized'],Other / Specialized
XLM,XLM-USD,3/14/2019 16:00,7/30/2025 4:00,2330,Legacy,15484302679,10,Large Cap,"Payments, Remittances",Stellar ,"['Payments', 'Remittances']",['Stellar'],,['Payments & Commerce'],Payments & Commerce
SUI,SUI-USD,5/18/2023 16:00,7/30/2025 3:00,804,Established,13142393673,11,Large Cap,"Smart Contracts, Layer-1",Sui ,"['Smart Contracts', 'Layer-1']",['Sui'],,['Layer 1 Blockchains'],Layer 1 Blockchains
LINK,LINK-USD,6/27/2019 16:00,7/30/2025 2:00,2225,Legacy,12192074628,12,Large Cap,"Oracles, DeFi",Ethereum,"['Oracles', 'DeFi']",['Ethereum'],,"['DeFi', 'Infrastructure & Data']","DeFi, Infrastructure & Data"
HBAR,HBAR-USD,10/13/2022 16:00,7/30/2025 2:00,1021,Established,10996492224,13,Large Cap,"Enterprise, Hashgraph",Hedera,"['Enterprise', 'Hashgraph']",['Hedera'],,['Other / Specialized'],Other / Specialized
AVAX,AVAX-USD,9/30/2021 19:00,7/30/2025 0:00,1399,Established,10059446765,14,Large Cap,"Smart Contracts, DeFi",Avalanche,"['Smart Contracts', 'DeFi']",['Avalanche'],,['DeFi'],DeFi
BCH,BCH-USD,12/20/2017 1:00,7/30/2025 0:00,2779,Legacy,9972120241,15,Mid Cap,Payments,Bitcoin family,['Payments'],['Bitcoin family'],,['Payments & Commerce'],Payments & Commerce
SHIB,SHIB-USD,9/9/2021 16:00,7/30/2025 3:00,1420,Established,8483773133,16,Mid Cap,"Meme, DeFi",Ethereum,"['Meme', 'DeFi']",['Ethereum'],,"['DeFi', 'Meme & Community Tokens']","DeFi, Meme & Community Tokens"
